                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24 
                                    zone                                     mass                                     logR                                     logT                                   logRho                                     logP                        x_mass_fraction_H                       y_mass_fraction_He                   z_mass_fraction_metals                                     grav                                   radius                    pressure_scale_height                              temperature                                      rho                                 pressure                                     abar                                  opacity                        mlt_mixing_length                                 conv_vel                             log_conv_vel                         log_conv_vel_old                                 super_ad                       conv_vel_div_L_vel                          B_equipartition 
                                      10                  9.9999999999021938E+000                  7.3788872055821786E-001                  4.3860791749818455E+000                 -8.9527274981210656E+000                  3.6376553221613790E+000                  7.0000000000000018E-001                  2.8000000000000008E-001                  1.9999999999999796E-002                  9.1645661918191126E+003                  5.4687581873921438E+000                  6.1048380623202328E-003                  2.4326474576341105E+004                  1.1149939268600570E-009                  4.3416551191763137E+003                  1.2966440175506924E+000                  2.3147318222723943E+000                  8.4821688254153967E+008                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                      11                  9.9999999998844764E+000                  7.3786890616642420E-001                  4.3886107750933681E+000                 -8.9395959049517817E+000                  3.6522022025036609E+000                  7.0000000000000018E-001                  2.8000000000000008E-001                  1.9999999999999796E-002                  9.1654024842168819E+003                  5.4685086846929973E+000                  6.1242062261055580E-003                  2.4468693171634382E+004                  1.1492224333968579E-009                  4.4895436925837039E+003                  1.2966440175506924E+000                  2.3386514589844749E+000                  8.5137567134039533E+008                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                      12                  9.9999999998726619E+000                  7.3785608856265317E-001                  4.3906138739911862E+000                 -8.9294801108591493E+000                  3.6635000784504155E+000                  7.0000000000000018E-001                  2.8000000000000008E-001                  1.9999999999999796E-002                  9.1659435086474150E+003                  5.4683472915689357E+000                  6.1405355968077073E-003                  2.4581810929995216E+004                  1.1763048540249730E-009                  4.6078685192622888E+003                  1.2966440175506924E+000                  2.3569252997312233E+000                  8.5358987104556990E+008                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                      13                  9.9999999998608509E+000                  7.3784356496634662E-001                  4.3935832385285831E+000                 -8.9149118254072430E+000                  3.6799160882974720E+000                  7.0000000000000007E-001                  2.8000000000000008E-001                  1.9999999999999796E-002                  9.1664721540202718E+003                  5.4681896050465619E+000                  6.1663607770373599E-003                  2.4750457925458864E+004                  1.2164329473533579E-009                  4.7853762330021300E+003                  1.2966440175506926E+000                  2.3829726503349384E+000                  8.5593069843840945E+008                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                      14                  9.9999999998372253E+000                  7.3781934096449109E-001                  4.3964955349077792E+000                 -8.9009852434997505E+000                  3.6957375857271875E+000                  7.0000000000000018E-001                  2.8000000000000008E-001                  1.9999999999999796E-002                  9.1674947828072800E+003                  5.4678846098266778E+000                  6.1926337883394357E-003                  2.4916987533324682E+004                  1.2560726419285037E-009                  4.9629235551314150E+003                  1.2966440175506924E+000                  2.4077718732728854E+000                  8.6076550305113554E+008                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                      15                  9.9999999998254125E+000                  7.3780760974267123E-001                  4.3984137699219890E+000                 -8.8920476260792967E+000                  3.7059749412365357E+000                  7.0000000000000018E-001                  2.8000000000000008E-001                  1.9999999999999796E-002                  9.1679900634155129E+003                  5.4677369125761315E+000                  6.2108590538030844E-003                  2.5027286770324270E+004                  1.2821899660191848E-009                  5.0813012263954006E+003                  1.2966440175506924E+000                  2.4235218691353078E+000                  8.6324830241407561E+008                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                      16                  9.9999999998135998E+000                  7.3779611655585831E-001                  4.4005001151244754E+000                 -8.8825109350674953E+000                  3.7169652795802044E+000                  7.0000000000000018E-001                  2.8000000000000008E-001                  1.9999999999999796E-002                  9.1684753203694327E+003                  5.4675922160789776E+000                  6.2313527179718832E-003                  2.5147806796233876E+004                  1.3106570410173628E-009                  5.2115304496245999E+003                  1.2966440175506924E+000                  2.4402133890760553E+000                  8.6581422662158895E+008                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                      17                  9.9999999997994244E+000                  7.3778262312149379E-001                  4.4038649862239518E+000                 -8.8675333712926605E+000                  3.7343724672289555E+000                  6.9999999999999996E-001                  2.8000000000000008E-001                  2.0000000000000018E-002                  9.1690450630953674E+003                  5.4674223418261967E+000                  6.2659218167488940E-003                  2.5343406304075488E+004                  1.3566462812674324E-009                  5.4246593007353849E+003                  1.2966440175506928E+000                  2.4661374535576677E+000                  8.6898490395607436E+008                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                      18                  9.9999999997710756E+000                  7.3775654752296338E-001                  4.4071489724279278E+000                 -8.8532317099581714E+000                  3.7511126960552348E+000                  7.0000000000000018E-001                  2.8000000000000008E-001                  1.9999999999999796E-002                  9.1701461716658687E+003                  5.4670940806207806E+000                  6.3004473679548504E-003                  2.5535770847783209E+004                  1.4020654583313816E-009                  5.6378393441155440E+003                  1.2966440175506924E+000                  2.4908872507306148E+000                  8.7539595852374721E+008                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                      19                  9.9999999997569002E+000                  7.3774393039033037E-001                  4.4093063814203681E+000                 -8.8440675398336577E+000                  3.7619260268144536E+000                  7.0000000000000018E-001                  2.8000000000000008E-001                  1.9999999999999796E-002                  9.1706790097005342E+003                  5.4669352527930597E+000                  6.3240502821177774E-003                  2.5662938395587087E+004                  1.4319651881515256E-009                  5.7799758894903935E+003                  1.2966440175506924E+000                  2.5065941184819986E+000                  8.7863190950917828E+008                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                      20                  9.9999999997427249E+000                  7.3773157564049285E-001                  4.4114349485345379E+000                 -8.8351728859106604E+000                  3.7724778346438668E+000                  7.0000000000000007E-001                  2.8000000000000008E-001                  1.9999999999999796E-002                  9.1712007969676870E+003                  5.4667797323811556E+000                  6.3478661208729087E-003                  2.5789026506046666E+004                  1.4615952201982622E-009                  5.9221286097067241E+003                  1.2966440175506926E+000                  2.5217901829572225E+000                  8.8193222593721759E+008                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                      21                  9.9999999997285496E+000                  7.3771947032835639E-001                  4.4145812962507032E+000                 -8.8223176137470194E+000                  3.7878415700048209E+000                  7.0000000000000018E-001                  2.8000000000000008E-001                  1.9999999999999796E-002                  9.1717120783433365E+003                  5.4666273561583063E+000                  6.3842812550261186E-003                  2.5976539547242231E+004                  1.5055056380088054E-009                  6.1353814651236016E+003                  1.2966440175506924E+000                  2.5435976177860837E+000                  8.8528817907081807E+008                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
